generated_at,mop_time,Hs_mop_raw,Hs_corrected,confidence,bin,scale_factor,harvest_time,harvest_Hs,harvest_Dp,buoy_Hs,buoy_Tp,buoy_Dp,buoy_time,Hs_ml
2026-04-15T03:18:29.701194+00:00,2026-04-15T01:00:00+00:00,0.831,0.929,MEDIUM,NW  (290–330°),1.1175,2026-04-15T02:30:00+00:00,2.59,324.2,1.07,4.86,259.9,2026-04-15T03:04:55+00:00,0.928
2026-04-15T04:36:17.778100+00:00,2026-04-15T03:00:00+00:00,0.852,0.952,MEDIUM,NW  (290–330°),1.1175,2026-04-15T04:00:00+00:00,2.61,315.8,1.03,5.12,265.4,2026-04-15T04:04:55+00:00,0.956
2026-04-15T06:26:19.677892+00:00,2026-04-15T05:00:00+00:00,0.777,0.868,MEDIUM,NW  (290–330°),1.1175,2026-04-15T05:30:00+00:00,2.41,317.2,0.96,4.44,257.7,2026-04-15T06:04:55+00:00,0.873
2026-04-15T08:21:11.447807+00:00,2026-04-15T07:00:00+00:00,0.734,0.82,MEDIUM,NW  (290–330°),1.1175,2026-04-15T07:30:00+00:00,2.29,315.8,0.82,5.12,257.1,2026-04-15T08:04:55+00:00,0.828
2026-04-15T10:06:23.634105+00:00,2026-04-15T08:00:00+00:00,0.723,0.808,MEDIUM,NW  (290–330°),1.1175,2026-04-15T09:00:00+00:00,2.31,314.3,0.73,4.44,256.4,2026-04-15T10:04:55+00:00,0.823
2026-04-15T11:46:13.923772+00:00,2026-04-15T10:00:00+00:00,0.695,0.777,MEDIUM,NW  (290–330°),1.1175,2026-04-15T11:00:00+00:00,2.41,315.8,0.7,6.02,254.3,2026-04-15T11:04:55+00:00,0.814
2026-04-15T12:56:04.586059+00:00,2026-04-15T11:00:00+00:00,0.653,0.73,MEDIUM,NW  (290–330°),1.1175,2026-04-15T12:00:00+00:00,2.33,315.8,0.68,5.68,249.6,2026-04-15T12:04:55+00:00,0.77
2026-04-15T14:26:17.772620+00:00,2026-04-15T13:00:00+00:00,0.557,0.622,MEDIUM,NW  (290–330°),1.1175,2026-04-15T13:30:00+00:00,2.1,317.2,0.69,5.38,249.8,2026-04-15T14:04:55+00:00,0.664
2026-04-15T15:57:41.659114+00:00,2026-04-15T14:00:00+00:00,0.538,0.601,MEDIUM,NW  (290–330°),1.1175,2026-04-15T15:00:00+00:00,2.08,318.6,0.73,5.12,251.2,2026-04-15T15:04:55+00:00,0.647
2026-04-15T16:56:54.443227+00:00,2026-04-15T15:00:00+00:00,0.527,0.589,MEDIUM,NW  (290–330°),1.1175,2026-04-15T16:00:00+00:00,2.1,317.2,0.77,6.02,246.6,2026-04-15T16:04:55+00:00,0.645
2026-04-15T18:01:03.226554+00:00,2026-04-15T16:00:00+00:00,0.531,0.593,MEDIUM,NW  (290–330°),1.1175,2026-04-15T17:30:00+00:00,2.1,315.8,0.79,5.38,253.5,2026-04-15T17:04:55+00:00,0.651
2026-04-15T19:57:22.039272+00:00,2026-04-15T18:00:00+00:00,0.464,0.518,MEDIUM,NW  (290–330°),1.1175,2026-04-15T19:00:00+00:00,1.99,315.8,0.82,4.64,256.8,2026-04-15T19:04:55+00:00,0.589
2026-04-15T20:41:29.193733+00:00,2026-04-15T19:00:00+00:00,0.443,0.495,MEDIUM,NW  (290–330°),1.1175,2026-04-15T20:00:00+00:00,1.94,311.5,0.75,5.12,260.3,2026-04-15T20:04:55+00:00,0.573
2026-04-15T21:40:55.544359+00:00,2026-04-15T20:00:00+00:00,0.415,0.464,MEDIUM,NW  (290–330°),1.1175,2026-04-15T21:00:00+00:00,1.94,312.9,0.66,4.86,259.4,2026-04-15T21:04:55+00:00,0.556
2026-04-15T22:32:43.110260+00:00,2026-04-15T21:00:00+00:00,0.413,0.462,MEDIUM,NW  (290–330°),1.1175,2026-04-15T22:00:00+00:00,1.82,324.2,0.63,4.64,259.7,2026-04-15T22:04:55+00:00,0.532
2026-04-15T23:33:01.737403+00:00,2026-04-15T22:00:00+00:00,0.421,0.47,MEDIUM,NW  (290–330°),1.1175,2026-04-15T23:00:00+00:00,1.93,320.0,0.64,4.26,262.9,2026-04-15T23:04:55+00:00,0.558
2026-04-16T01:22:29.781227+00:00,2026-04-16T00:00:00+00:00,0.551,0.616,MEDIUM,NW  (290–330°),1.1175,2026-04-16T00:30:00+00:00,2.05,312.9,0.81,5.12,255.6,2026-04-16T01:04:55+00:00,0.673
2026-04-16T04:42:33.961219+00:00,2026-04-16T03:00:00+00:00,0.694,0.775,MEDIUM,NW  (290–330°),1.1175,2026-04-16T04:00:00+00:00,1.99,320.0,0.8,5.12,261.1,2026-04-16T04:04:55+00:00,0.762
2026-04-16T06:27:31.529610+00:00,2026-04-16T05:00:00+00:00,0.671,0.75,MEDIUM,NW  (290–330°),1.1175,2026-04-16T05:30:00+00:00,2.15,320.0,0.83,5.12,254.5,2026-04-16T06:04:55+00:00,0.772
2026-04-16T08:21:29.107408+00:00,2026-04-16T07:00:00+00:00,0.627,0.7,MEDIUM,NW  (290–330°),1.1175,2026-04-16T07:30:00+00:00,2.01,314.3,0.87,4.44,258.7,2026-04-16T08:04:55+00:00,0.722
2026-04-16T10:05:56.736428+00:00,2026-04-16T08:00:00+00:00,0.611,0.683,MEDIUM,NW  (290–330°),1.1175,2026-04-16T09:30:00+00:00,2.07,318.6,0.79,4.44,260.8,2026-04-16T10:04:55+00:00,0.721
2026-04-16T11:50:57.282039+00:00,2026-04-16T10:00:00+00:00,0.613,0.685,MEDIUM,NW  (290–330°),1.1175,2026-04-16T11:00:00+00:00,2.12,317.2,0.75,5.38,257.0,2026-04-16T11:04:55+00:00,0.731
2026-04-16T13:00:52.655042+00:00,2026-04-16T11:00:00+00:00,0.566,0.632,MEDIUM,NW  (290–330°),1.1175,2026-04-16T12:00:00+00:00,2.13,317.2,0.71,5.12,261.4,2026-04-16T12:04:55+00:00,0.7
2026-04-16T15:17:03.296428+00:00,2026-04-16T13:00:00+00:00,0.484,0.541,MEDIUM,NW  (290–330°),1.1175,2026-04-16T14:30:00+00:00,2.3,318.6,0.67,4.86,253.5,2026-04-16T15:04:55+00:00,0.669
2026-04-16T17:01:41.258854+00:00,2026-04-16T15:00:00+00:00,0.485,0.542,MEDIUM,NW  (290–330°),1.1175,2026-04-16T16:30:00+00:00,2.27,324.2,0.67,5.68,250.0,2026-04-16T16:04:55+00:00,0.663
2026-04-16T18:55:51.603586+00:00,2026-04-16T17:00:00+00:00,0.504,0.563,MEDIUM,NW  (290–330°),1.1175,2026-04-16T18:00:00+00:00,2.32,321.4,0.82,5.68,242.3,2026-04-16T18:04:55+00:00,0.685
2026-04-16T19:55:42.958428+00:00,2026-04-16T18:00:00+00:00,0.531,0.593,MEDIUM,NW  (290–330°),1.1175,2026-04-16T19:00:00+00:00,2.23,322.8,0.86,5.68,246.3,2026-04-16T19:04:55+00:00,0.692
